ALL,Big,1,2,3,4,5,res,index,new_class_symbol
购物服务;商场;购物中心|购物服务;便民商店/便利店;便民商店/便利店|购物相关场所,购物服务,商场,购物中心|购物服务,便民商店/便利店,便民商店/便利店|购物相关场所,,购物消费,179,3
商务住宅;住宅区;别墅|住宿服务;旅馆招待所;旅馆招待所|体育休闲服务;休闲,商务住宅,住宅区,别墅|住宿服务,旅馆招待所,旅馆招待所|体育休闲服务,休闲,商务住宅,180,11
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|风景名胜;风景名胜,政府机构及社会团体,政府机关,省直辖市级政府及事业单位|风景名胜,风景名,,,政府机构,181,14
科教文化服务;培训机构;培训机构|科教文化服务;美术馆;美术馆,科教文化服务,培训机构,培训机构|科教文化服务,美术馆,美术馆,,科教文化,182,7
购物服务;综合市场;综合市场,购物服务,综合市场,综合市场,,,,购物消费,183,3
商务住宅;楼宇;商务写字楼|商务住宅;产业园区;产业园区,商务住宅,楼宇,商务写字楼|商务住宅,产业园区,产业园区,,商务住宅,184,11
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|公司企业;公司企,政府机构及社会团体,政府机关,省直辖市级政府及事业单位|公司企业,公司企,,,政府机构,185,14
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|公司企业;公司企业,政府机构及社会团体,政府机关,省直辖市级政府及事业单位|公司企业,公司企,,,政府机构,186,14
商务住宅;住宅区;住宅区|生活服务;生活服务场所;生活服务场所,商务住宅,住宅区,住宅区|生活服务,生活服务场所,生活服务场所,,商务住宅,187,11
住宿服务;宾馆酒店;宾馆酒店|体育休闲服务;休闲场所;休闲场所|住宿服务,住宿服务,宾馆酒店,宾馆酒店|体育休闲服务,休闲场所,休闲场所|住宿服务,旅,酒店住宿,188,2
科教文化服务;学校;成人教育|科教文化服务;学校;职业技术学校,科教文化服务,学校,成人教育|科教文化服务,学校,职业技术学校,,科教文化,189,7
汽车维修;汽车综合维修;汽车综合维修|公司企业;公司;公司,汽车维修,汽车综合维修,汽车综合维修|公司企业,公司,公司,,汽车相关,190,10
医疗保健服务;专科医院;口腔医院|医疗保健服务;综合医院;综合医院|医疗保健服务,医疗保健服务,专科医院,口腔医院|医疗保健服务,综合医院,综合医院|医疗保健服务,,医疗保健,191,0
公司企业;公司;公司|公司企业;工厂;工厂,公司企业,公司,公司|公司企业,工厂,工厂,,公司企业,192,5
商务住宅;楼宇;商务写字楼|购物服务;特色商业街;特色商业街,商务住宅,楼宇,商务写字楼|购物服务,特色商业街,特色商业街,,商务住宅,193,11
商务住宅;住宅区;别墅|商务住宅;楼宇;商务写字楼,商务住宅,住宅区,别墅|商务住宅,楼宇,商务写字楼,,商务住宅,194,11
商务住宅;住宅区;别墅|商务住宅;住宅区;住宅小区,商务住宅,住宅区,别墅|商务住宅,住宅区,住宅小区,,商务住宅,195,11
政府机构及社会团体;政府机关;区县级政府及事业单位|科教文化服务;培训机构,政府机构及社会团体,政府机关,区县级政府及事业单位|科教文化服务,培训机,,,政府机构,196,14
科教文化服务;学校;幼儿园|购物服务;购物相关场所;购物相关场所,科教文化服务,学校,幼儿园|购物服务,购物相关场所,购物相关场所,,科教文化,197,7
科教文化服务;学校;中学|科教文化服务;学校;小学,科教文化服务,学校,中学|科教文化服务,学校,小学,,科教文化,198,7
