ALL,Big,1,2,3,4,5,res,index,new_class_symbol
住宿服务;宾馆酒店;三星级宾馆|住宿服务;旅馆招待所;旅馆招待所,住宿服务,宾馆酒店,三星级宾馆|住宿服务,旅馆招待所,旅馆招待所,,酒店住宿,327,2
公司企业;公司;电信公司,公司企业,公司,电信公司,,,,公司企业,328,5
科教文化服务;学校;高等院校,科教文化服务,学校,高等院校,,,,科教文化,329,7
生活服务;物流速递;物流仓储场地|商务住宅;产业园区;产业园区,生活服务,物流速递,物流仓储场地|商务住宅,产业园区,产业园区,,生活服务,330,13
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|公司企业;公司,政府机构及社会团体,政府机关,省直辖市级政府及事业单位|公司企业,公司,,,政府机构,331,14
风景名胜;风景名胜;风景名胜|科教文化服务;科教文化场所;科教文化场所,风景名胜,风景名胜,风景名胜|科教文化服务,科教文化场所,科教文化场所,,旅游景点,332,12
交通设施服务;港口码头;人渡口|科教文化服务;展览馆;展览馆,交通设施服务,港口码头,人渡口|科教文化服务,展览馆,展览馆,,交通设施,333,1
政府机构及社会团体;政府机关;区县级政府及事业单位|商务住宅;住宅区;住27,,,,,,,政府机构,334,14
生活服务;事务所;专利事务所|政府机构及社会团体;政府机关;省直辖市级政09,,,,,,,政府机构,335,14
科教文化服务;学校;幼儿园|政府机构及社会团体;政府机关;乡镇级政府及事29,,,,,,,科教文化,336,7
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|风景名胜;风景名,,,,,,,政府机构,337,14
购物服务;商场;购物中心|购物服务;便民商店/便利店;便民商店/便利店|购物;1,,,,,,,购物消费,338,3
医疗保健服务;专科医院;妇科医院|医疗保健服务;综合医院;综合医院|医疗保0,,,,,,,医疗保健,339,0
购物服务;家居建材市场;家具建材综合市场|购物服务;家居建材市场;建材五01,,,,,,,购物消费,340,3
购物服务;家居建材市场;家具建材综合市场|购物服务;家居建材市场;建材五30,,,,,,,购物消费,341,3
政府机构及社会团体;政府机关;区县级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,342,14
政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,343,14
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会6,,,,,,,政府机构,344,14
商务住宅;住宅区;住宅小区|商务住宅;住宅区;社区中心|地名地址信息;普通地,,,,,,,商务住宅,345,11
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会8,,,,,,,政府机构,346,14
政府机构及社会团体;政府机关;外地政府办|政府机构及社会团体;政府机关;97,,,,,,,政府机构,347,14
商务住宅;楼宇;商务写字楼|公司企业;公司;公司|购物服务;购物相关场所;购44,,,,,,,商务住宅,348,11
科教文化服务;学校;中学|科教文化服务;学校;职业技术学校|科教文化服务;学,,,,,,,科教文化,349,7
商务住宅;商务住宅相关;商务住宅相关|科教文化服务;科教文化场所;科教文94,,,,,,,商务住宅,350,11
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|公司企业;公司;23,,,,,,,政府机构,351,14
公司企业;公司;建筑公司|政府机构及社会团体;政府机关;省直辖市级政府及55,,,,,,,公司企业,352,5
政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|政府机构及社会8,,,,,,,政府机构,353,14
政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,354,14
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|科教文化服务;科,,,,,,,政府机构,355,14
政府机构及社会团体;政府机关;区县级政府及事业单位|科教文化服务;培训机,,,,,,,政府机构,356,14
生活服务;事务所;评估事务所|政府机构及社会团体;政府机关;国家级机关及44,,,,,,,生活服务,357,13
购物服务;家居建材市场;建材五金市场|购物服务;便民商店/便利店;便民商店/,,,,,,,购物消费,358,3
科教文化服务;培训机构;培训机构|地名地址信息;地名地址信息;地名地址信06,,,,,,,科教文化,359,7
政府机构及社会团体;政府机关;地市级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,360,14
体育休闲服务;体育休闲服务场所;体育休闲服务场所|住宿服务;宾馆酒店;宾03,,,,,,,旅游景点,361,12
医疗保健服务;专科医院;口腔医院|医疗保健服务;综合医院;综合医院|医疗保5,,,,,,,医疗保健,362,0
政府机构及社会团体;政府机关;区县级政府及事业单位|生活服务;丧葬设施;25,,,,,,,政府机构,363,14
公司企业;公司;公司|汽车销售;梅赛德斯-奔驰特约销售;梅赛德斯-奔驰销售|14,,,,,,,公司企业,364,5
政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,365,14
政府机构及社会团体;政府机关;区县级政府及事业单位|政府机构及社会团体;,,,,,,,政府机构,366,14
科教文化服务;科研机构;科研机构|医疗保健服务;医疗保健服务场所;医疗保36,,,,,,,科教文化,367,7
住宿服务;宾馆酒店;四星级宾馆|体育休闲服务;体育休闲服务场所;体育休闲70,,,,,,,酒店住宿,368,2
政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会8,,,,,,,政府机构,369,14
购物服务;综合市场;综合市场|政府机构及社会团体;政府及社会团体相关;政96,,,,,,,购物消费,370,3
风景名胜;公园广场;公园广场|体育休闲服务;体育休闲服务场所;体育休闲服90,,,,,,,旅游景点,371,12
住宿服务;宾馆酒店;宾馆酒店|体育休闲服务;休闲场所;休闲场所|住宿服务;旅,,,,,,,酒店住宿,372,2
住宿服务;住宿服务相关;住宿服务相关|商务住宅;商务住宅相关;商务住宅相71,,,,,,,酒店住宿,373,2
