id_C_20,name_C_254,type_C_100,addr_C_254,结构_C_50,面积_N_31_15,时间_C_20,装修_C_50,价格_N_31_15,gcj_lng_N_31_15,gcj_lat_N_31_15,wgs_lng_N_31_15,wgs_lat_N_31_15,bd_lng_N_31_15,bd_lat_N_31_15,gcj_shape_C_254,index,new_class,new_class_symbol
B000A85YD0,后祁庄居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,北京市朝阳区十八里店乡十八里店南桥,,,,,,116.476436,39.83893,116.470350168019,39.8376434501339,116.483012864186,39.8447018121877,"116.476271,39.839085;116.476275,39.839103;116.476282,39.839111;116.476295,39.839116;116.476573,39.839111;116.476582,39.839107;116.476587,39.839101;116.476591,39.839087;116.476565,39.838744;116.476558,39.838729;116.476543,39.83872;116.47653,39.838714;116.",14,政府机构,14
B000A85HOR,黄寺大街25号院,商务住宅;住宅区;住宅小区,北京市西城区黄寺大街25号,塔板结合,,,,,116.382862,39.964619,116.376619732669,39.9632208647058,116.38929175369,39.9708383156038,"116.3818,39.965176;116.381912,39.966067;116.382125,39.966066;116.382168,39.966289;116.383351,39.966211;116.383379,39.966308;116.384144,39.966275;116.384052,39.965421;116.383941,39.964527;116.38389,39.964005;116.383738,39.962973;116.382053,39.962903;116.3",15,商务住宅,11
B000A3957D,首钢国际大厦,商务住宅;楼宇;商务写字楼,北京市海淀区西直门北大街60号(西直门立交桥东北),,,,,,116.357248,39.945709,116.351045751751,39.9443431747245,116.363809329874,39.9514884446714,"116.357013,39.94602;116.357026,39.945373;116.35703,39.945361;116.35704,39.945354;116.357051,39.94535;116.357336,39.945353;116.357366,39.945366;116.357402,39.945393;116.357443,39.945431;116.35748,39.945472;116.357486,39.945499;116.35749,39.946014;116.3574",16,商务住宅,11
B000A84FGN,鹏龙大厦,商务住宅;楼宇;商务写字楼,北京市朝阳区华威里10号,,,,,,116.460139,39.873955,116.45399467922,39.8726244073781,116.466777135596,39.8796119686431,"116.459721,39.87408;116.459728,39.8741;116.459738,39.874117;116.459752,39.874133;116.459767,39.87415;116.459784,39.874167;116.459802,39.874173;116.45983,39.874179;116.459854,39.874182;116.460506,39.874184;116.460531,39.874177;116.460549,39.874167;116.460",17,商务住宅,11
B0FFGZK33X,桔子酒店·精选(北京学院路店),住宿服务;宾馆酒店;经济型连锁酒店,北京市海淀区志新西路3-1号,,,,,,116.363919,39.998866,116.357697884261,39.9974879609906,116.370473476767,40.0047625309388,"116.364589,39.998888;116.3646,39.998896;116.364608,39.998907;116.36461,39.998924;116.364604,39.998987;116.3646,39.999001;116.364593,39.999016;116.364577,39.999023;116.364549,39.999023;116.363447,39.998989;116.36342,39.99898;116.363404,39.998969;116.36339",18,酒店住宿,2
B0FFGLOSH7,十八空间创意园区,商务住宅;产业园区;产业园区,北京市朝阳区东四环南路365号,,,,,,116.484035,39.855322,116.477974673202,39.8540559889714,116.490585343684,39.8612192773095,"116.483884,39.855565;116.483712,39.855219;116.484184,39.855075;116.484357,39.85543;116.483884,39.855565",19,商务住宅,11
B000A8WA6Q,北京市如果蒙台梭利幼儿园(芳星园)(暂停营业),科教文化服务;学校;幼儿园,北京市丰台区方庄芳星园二区11楼(北京第十八中学操场北侧),,,,,,116.436086,39.864624,116.429882022056,39.8632471126509,116.442641645317,39.8705207862766,"116.436399,39.864694;116.436397,39.864675;116.43631,39.864634;116.436198,39.864585;116.436055,39.864456;116.435924,39.864456;116.435912,39.864735;116.435982,39.864761;116.436399,39.864694",20,科教文化,7
B000A7ONE1,白家庄小学科技园校区,科教文化服务;学校;小学,北京市朝阳区望京西园科技园1区117号楼,,,,,,116.475442,40.003459,116.469331997439,40.002162213514,116.482039283219,40.0092226510789,"116.476106,40.003218;116.474727,40.003164;116.47472,40.003428;116.474886,40.003436;116.474967,40.00351;116.474959,40.003763;116.475895,40.003778;116.476077,40.003566;116.476106,40.003218",21,科教文化,7
B0FFF0FPJT,北京市第四幼儿园长阳分园,科教文化服务;学校;幼儿园,北京市房山区祥云街3号附近,,,,,,116.205419,39.760136,116.199348496317,39.7588960591232,116.212021493691,39.7658897265538,"116.205095,39.759846;116.205771,39.759858;116.205728,39.760428;116.205085,39.760421;116.205095,39.759846",22,科教文化,7
B000A7WZGI,马家堡路27号院,商务住宅;住宅区;住宅小区,北京市丰台区,塔楼/板楼,,,,,116.384594,39.864228,116.378362966468,39.8628329251988,116.391029314927,39.8704757722558,"116.384166,39.863967;116.384888,39.863941;116.384924,39.864154;116.384966,39.864651;116.384772,39.864659;116.38476,39.864419;116.384215,39.864423;116.384166,39.863967",23,商务住宅,11
B0FFGXU5LB,财满街,商务住宅;楼宇;楼宇相关,北京市朝阳区,塔楼/板楼,,,,,116.53209,39.917319,116.526197674918,39.9161888415864,116.538478550077,39.9235957534554,"116.531406,39.917074;116.531377,39.917084;116.531363,39.917103;116.531355,39.917136;116.531398,39.91764;116.531412,39.917667;116.531431,39.917681;116.531492,39.917687;116.532734,39.917564;116.532788,39.917549;116.532798,39.917545;116.532812,39.917533;116",24,商务住宅,11
B000A8UAK7,北大地一里,商务住宅;住宅区;住宅小区,北京市丰台区西四环南路辅路附近,板楼,,,,,116.282064,39.853325,116.276025080034,39.8520924538068,116.288457292001,39.8596759767734,"116.282934,39.853865;116.282976,39.852794;116.281934,39.852762;116.281925,39.852858;116.281056,39.852833;116.280993,39.853628;116.28164,39.853662;116.281634,39.85387;116.282444,39.85393;116.282927,39.853942;116.282934,39.853865",25,商务住宅,11
B000A874LF,如家快捷酒店(北京雍和宫和平里东街林业局店),住宿服务;宾馆酒店;经济型连锁酒店,北京市东城区和平里东街交林夹道5号C座,,,,,,116.427377,39.957688,116.421146239949,39.9562957024164,116.433858303916,39.9637350357169,"116.427517,39.957453;116.427532,39.957456;116.427541,39.957461;116.427548,39.957474;116.427534,39.957899;116.427529,39.957911;116.427519,39.95792;116.427503,39.957925;116.427245,39.957926;116.427224,39.957925;116.427211,39.957918;116.427207,39.957907;116",26,酒店住宿,2
B000A84FM6,北京世华针刀中医医院,医疗保健服务;综合医院;综合医院,北京市朝阳区十里河村391号,,,,,,116.462996,39.860725,116.456862211008,39.8594019818509,116.469630847864,39.8663856284782,"116.462639,39.860794;116.462855,39.860535;116.463301,39.860632;116.463203,39.860917;116.462639,39.860794",27,医疗保健,0
B000A7QN7X,北京市通州区次渠中学,科教文化服务;学校;中学,北京市通州区台湖镇,,,,,,116.5954,39.804164,116.589627600067,39.8031312740776,116.601964599653,39.8099157355709,"116.593635,39.80329;116.596896,39.803296;116.596945,39.805196;116.595588,39.80518;116.595507,39.805114;116.595512,39.804866;116.594312,39.80508;116.59422,39.805064;116.594112,39.804611;116.593887,39.804611;116.593683,39.804001;116.593635,39.80329",28,科教文化,7
B0FFF2ND5B,军庄站,交通设施服务;火车站;货运火车站,北京市门头沟区109国道东200米,,,,,,116.096708,39.994363,116.090371709126,39.9929624652598,116.103344622741,40.0000262157663,"116.096653,39.994264;116.096765,39.994039;116.09689,39.994072;116.096798,39.99431;116.096845,39.99437;116.096759,39.994691;116.096522,39.994633;116.096577,39.994487;116.096653,39.994264",29,交通设施,1
B0FFFHB540,国门大厦,商务住宅;楼宇;商务写字楼,北京市朝阳区静安东里,板楼,,,,,116.449095,39.958543,116.442908736689,39.9571846354184,116.455694417537,39.9642485750587,"116.450002,39.958153;116.450475,39.958189;116.450519,39.958203;116.45054,39.958215;116.450544,39.958223;116.450542,39.958233;116.450536,39.958241;116.450487,39.958283;116.450482,39.95832;116.449968,39.958633;116.449941,39.958613;116.449705,39.958734;116.",30,商务住宅,11
B000A26836,北京建筑大学附属中学,科教文化服务;学校;中学,北京市大兴区黄村镇红楼西巷20号,,,,,,116.333683,39.724185,116.327559149929,39.7228769403416,116.340299826823,39.7298563206965,"116.332962,39.724141;116.33293,39.723566;116.334228,39.72356;116.334503,39.724434;116.334522,39.724769;116.332945,39.72476;116.332962,39.724141",31,科教文化,7
