0.065329,0.096406,0.125050,0.148362,0.082077,0.091317,0.057420,0.078152,0.115721,0.049258
0.062221,0.110943,0.114953,0.148887,0.081528,0.096762,0.059535,0.087706,0.099160,0.047395
0.064584,0.090664,0.134083,0.138156,0.076625,0.086989,0.054107,0.078787,0.134783,0.050314
0.063936,0.105266,0.126623,0.146503,0.078161,0.090151,0.056315,0.086806,0.106988,0.048341
0.065465,0.101764,0.128893,0.144724,0.077171,0.092496,0.054726,0.090150,0.105315,0.048387
0.064721,0.109474,0.122364,0.147940,0.075356,0.088461,0.055062,0.091960,0.106475,0.047278
0.058243,0.096484,0.103168,0.147190,0.088582,0.109327,0.058982,0.092100,0.108452,0.046564
0.065124,0.096703,0.117512,0.148143,0.082546,0.096527,0.055485,0.093148,0.105746,0.048155
0.063240,0.105910,0.111327,0.135887,0.075436,0.081592,0.058629,0.077354,0.153335,0.046379
0.062286,0.104466,0.136766,0.145713,0.087045,0.124754,0.059831,0.069472,0.071979,0.046779
