0.057598,0.089100,0.189896,0.135997,0.087207,0.086954,0.051954,0.102473,0.061168,0.046743
0.054525,0.088175,0.207479,0.151452,0.078365,0.078784,0.050892,0.091631,0.061134,0.046654
0.053150,0.079179,0.271982,0.129860,0.067614,0.069101,0.049849,0.086556,0.055218,0.046583
0.055376,0.094037,0.173917,0.187256,0.080170,0.076898,0.051186,0.084734,0.059248,0.046268
0.057211,0.096202,0.174063,0.132127,0.090195,0.091964,0.052180,0.101642,0.066593,0.046915
0.056094,0.093736,0.184717,0.129752,0.086742,0.088223,0.051774,0.103814,0.067159,0.047080
0.058596,0.089233,0.179218,0.137500,0.091718,0.087643,0.052836,0.104667,0.060978,0.046702
0.056539,0.089180,0.194577,0.129204,0.081542,0.084654,0.051245,0.110130,0.064808,0.047212
0.054813,0.081307,0.221898,0.123470,0.077926,0.081775,0.051335,0.109612,0.059306,0.047649
0.055449,0.082303,0.200563,0.139377,0.075984,0.085965,0.052426,0.112105,0.058233,0.046686
